Country,Andorra,Argentina,Australia,Austria,Belgium,Bolivia,Brazil,Bulgaria,Canada,Chile,Colombia,Costa Rica,Czech Republic,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Finland,France,Germany,Greece,Guatemala,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Japan,Latvia,Lithuania,Luxembourg,Malaysia,Mexico,Morocco,Netherlands,New Zealand,Nicaragua,Norway,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russia,Saudi Arabia,Singapore,Slovakia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Vietnam
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,0.0,1.365,1.264,0.495,1.134,0.304,0.52,1.124,0.915,0.664,1.429,0.15,3.666,0.987,1.186,0.505,0.661,0.92,1.239,0.561,0.534,0.389,2.067,0.843,1.699,1.266,2.426,1.265,1.504,1.636,0.742,0.564,1.201,2.167,1.341,0.253,2.513,0.749,0.36,2.336,1.369,1.024,2.686,1.656,0.32,0.626,1.863,0.328,0.859,1.096,1.324,1.256,3.144,4.062,0.748,0.599,0.193,3.76,0.782,0.592,0.957,0.27,1.778,1.055,1.993,1.544,0.431,1.984
Australia,,1.365,0.0,1.254,1.254,3.097,1.935,2.776,0.107,3.464,3.16,4.01,0.822,2.188,1.839,3.611,2.755,3.523,1.139,1.277,1.348,0.318,3.007,5.932,3.165,2.361,1.031,2.401,1.535,3.298,0.354,1.355,0.451,2.493,2.324,1.812,0.607,3.745,2.815,1.457,1.746,0.185,3.605,2.369,4.856,1.438,3.355,2.94,1.545,3.763,3.7,3.832,3.664,3.511,4.343,0.317,3.179,1.576,2.789,0.286,2.676,2.941,2.195,4.841,3.485,0.13,0.013,2.574,3.004
Austria,,1.264,1.254,0.0,2.33,4.57,2.497,3.247,1.403,3.868,2.483,3.631,1.435,4.143,2.11,3.321,3.025,3.436,2.321,2.483,2.823,0.485,2.456,6.23,3.738,3.044,0.982,4.027,2.964,3.947,0.833,0.842,1.006,1.349,4.432,3.275,1.077,5.4,2.823,2.285,3.992,0.814,4.007,4.331,5.336,1.982,3.183,4.088,2.016,3.914,4.574,5.128,4.188,4.794,4.829,1.137,3.071,2.219,5.22,0.453,2.571,3.466,2.618,5.966,4.153,1.388,1.4,2.176,4.057
Belgium,,0.495,1.254,2.33,0.0,1.184,0.712,1.013,1.223,1.639,1.708,2.763,0.32,4.293,1.9,2.255,1.163,1.415,1.323,1.677,0.131,0.931,0.797,2.608,1.412,2.763,1.141,2.992,1.572,2.505,2.279,1.629,0.459,1.697,2.188,1.646,0.651,2.977,1.176,0.631,2.3,1.773,1.74,3.02,2.2,0.814,1.534,2.272,0.173,1.379,1.244,1.162,1.563,4.34,4.004,1.066,1.528,0.401,4.177,1.23,1.7,1.899,0.678,1.932,1.411,2.074,1.414,1.187,3.073
Bolivia,,1.134,3.097,4.57,1.184,0.0,0.426,0.227,2.383,0.302,1.413,1.372,1.072,3.91,1.767,1.469,0.387,0.488,1.166,1.543,0.63,2.543,1.279,0.818,0.339,1.952,3.998,2.084,1.326,0.998,3.842,2.644,2.346,3.885,1.431,1.069,1.404,1.479,1.346,0.622,2.006,3.428,0.459,2.263,0.668,0.795,0.561,1.682,1.288,0.465,0.274,0.203,0.991,2.711,5.786,2.108,0.532,0.488,3.129,2.97,0.777,0.468,0.348,0.245,0.517,3.967,3.239,1.155,1.423
Brazil,,0.304,1.935,2.497,0.712,0.426,0.0,0.122,1.488,0.49,0.434,1.433,0.284,3.814,0.628,0.587,0.088,0.346,0.997,1.423,0.508,1.186,0.628,1.117,0.17,1.03,2.161,2.403,0.645,0.603,2.22,1.675,1.101,1.875,2.027,1.301,0.628,1.197,0.421,0.065,2.351,2.138,0.286,2.68,0.69,0.089,0.295,0.921,0.488,0.64,0.364,0.566,0.504,2.053,3.685,0.944,0.312,0.219,3.561,1.445,0.27,0.376,0.051,0.853,0.295,2.539,2.051,0.81,1.067
Bulgaria,,0.52,2.776,3.247,1.013,0.227,0.122,0.0,2.161,0.156,0.575,0.978,0.673,4.154,1.155,0.769,0.04,0.09,1.145,1.549,0.686,1.847,0.584,0.655,0.115,1.53,3.074,2.357,1.188,0.728,3.158,1.891,1.786,2.584,1.921,1.257,0.98,1.522,0.713,0.353,2.46,2.897,0.185,2.664,0.469,0.4,0.102,1.426,0.835,0.239,0.212,0.349,0.639,2.546,4.899,1.656,0.108,0.265,3.672,2.221,0.265,0.268,0.047,0.422,0.296,3.564,2.947,0.619,1.289
Canada,,1.124,0.107,1.403,1.223,2.383,1.488,2.161,0.0,2.635,2.731,3.047,0.654,1.491,1.477,3.086,2.156,2.845,0.594,0.706,1.109,0.347,2.745,5.097,2.517,1.804,1.501,1.564,1.169,2.538,0.368,1.077,0.617,2.803,1.572,1.125,0.364,3.086,2.583,1.109,1.125,0.172,2.899,1.576,4.121,1.075,2.665,2.548,1.526,3.052,3.104,3.235,3.248,2.731,4.763,0.234,2.463,1.173,1.917,0.362,1.998,2.116,1.71,4.008,2.936,0.262,0.128,2.048,2.172
Chile,,0.915,3.464,3.868,1.639,0.302,0.49,0.156,2.635,0.0,1.063,0.453,1.219,3.803,1.772,1.296,0.264,0.148,1.096,1.396,1.114,2.465,0.99,0.781,0.382,2.004,4.236,1.877,1.827,0.991,3.806,1.918,2.626,3.731,1.566,1.015,1.293,2.089,1.484,0.853,2.22,3.358,0.419,2.205,0.764,0.877,0.172,2.238,1.584,0.147,0.54,0.633,1.315,2.884,6.711,2.318,0.108,0.485,3.186,2.918,0.369,0.232,0.307,0.454,0.752,4.331,3.677,0.537,1.434
Colombia,,0.664,3.16,2.483,1.708,1.413,0.434,0.575,2.731,1.063,0.0,1.951,0.918,5.81,0.625,0.141,0.341,0.54,2.309,2.877,1.71,1.779,0.68,1.154,0.439,1.17,2.473,4.191,1.253,0.733,2.912,2.349,1.78,1.323,4.024,2.855,1.444,1.56,0.235,0.596,4.455,3.185,0.416,4.697,0.715,0.473,0.402,1.043,0.96,1.165,0.794,1.306,0.46,2.382,3.133,1.647,0.527,1.019,5.758,1.987,0.375,0.824,0.521,1.517,0.472,3.674,3.293,1.317,1.501
Costa Rica,,1.429,4.01,3.631,2.763,1.372,1.433,0.978,3.047,0.453,1.951,0.0,2.044,3.203,2.725,2.448,1.108,0.789,1.169,1.25,2.177,2.833,1.75,2.112,1.481,2.922,5.231,1.456,3.134,1.997,4.02,1.385,3.512,4.805,1.588,1.025,1.582,3.829,2.926,1.919,2.193,3.355,1.501,1.848,2.203,1.793,0.759,4.0,2.803,0.658,1.94,2.11,3.017,3.84,9.266,3.03,0.564,1.103,2.81,3.307,0.828,0.758,1.117,1.716,2.207,4.841,4.296,0.486,2.192
Czech Republic,,0.15,0.822,1.435,0.32,1.072,0.284,0.673,0.654,1.219,0.918,2.044,0.0,3.229,0.744,1.274,0.648,1.041,0.788,1.13,0.339,0.369,0.814,2.416,0.888,1.335,1.023,2.306,0.717,1.371,1.197,1.066,0.286,1.31,1.969,1.261,0.19,1.965,0.739,0.169,1.983,1.045,1.129,2.474,1.797,0.185,0.978,1.362,0.249,1.298,1.136,1.312,1.178,2.586,3.318,0.337,0.949,0.253,3.326,0.539,0.799,1.055,0.379,1.923,1.032,1.318,0.925,0.932,1.688
Denmark,,3.666,2.188,4.143,4.293,3.91,3.814,4.154,1.491,3.803,5.81,3.203,3.229,0.0,3.929,6.046,4.3,4.889,1.036,0.773,3.447,2.82,6.056,7.66,4.722,3.52,5.84,0.479,3.355,4.191,2.201,2.304,3.876,7.739,1.041,1.1,2.123,5.23,6.356,3.551,0.588,1.658,5.091,0.444,6.787,3.438,4.619,5.539,5.121,4.778,5.73,5.737,6.747,3.615,10.675,2.493,4.134,3.129,0.196,2.897,3.626,3.17,3.932,5.921,5.776,2.222,2.207,3.602,2.982
Dominican Republic,,0.987,1.839,2.11,1.9,1.767,0.628,1.155,1.477,1.772,0.625,2.725,0.744,3.929,0.0,0.482,0.837,1.523,1.711,2.201,1.749,1.164,1.925,2.579,0.868,0.17,2.159,3.315,0.275,0.469,1.373,2.36,1.355,1.769,3.416,2.423,1.105,0.822,0.705,0.445,3.402,1.93,0.943,3.703,1.627,0.291,1.216,0.421,1.319,2.335,1.555,2.103,0.982,0.869,2.38,0.63,1.252,1.311,4.134,1.148,0.639,0.931,0.989,2.518,1.0,1.891,1.816,2.188,0.628
Ecuador,,1.186,3.611,3.321,2.255,1.469,0.587,0.769,3.086,1.296,0.141,2.448,1.274,6.046,0.482,0.0,0.468,0.829,2.667,3.307,2.106,2.329,1.318,1.144,0.405,0.79,3.171,4.52,0.984,0.386,3.232,3.23,2.316,1.916,4.378,3.228,1.94,0.898,0.32,0.691,4.816,3.741,0.342,5.049,0.575,0.574,0.628,0.578,1.418,1.612,0.825,1.385,0.337,1.677,2.83,1.86,0.779,1.453,5.887,2.483,0.483,0.808,0.794,1.537,0.388,3.991,3.675,2.042,1.063
Egypt,,0.505,2.755,3.025,1.163,0.387,0.088,0.04,2.156,0.264,0.341,1.108,0.648,4.3,0.837,0.468,0.0,0.123,1.279,1.722,0.872,1.752,0.624,0.687,0.059,1.187,2.932,2.605,0.991,0.504,2.936,1.956,1.739,2.293,2.27,1.497,1.001,1.266,0.516,0.286,2.769,2.846,0.1,2.963,0.405,0.286,0.078,1.119,0.844,0.415,0.257,0.497,0.484,2.165,4.347,1.51,0.108,0.378,3.916,2.07,0.147,0.227,0.076,0.583,0.218,3.434,2.902,0.76,1.062
El Salvador,,0.661,3.523,3.436,1.415,0.488,0.346,0.09,2.845,0.148,0.54,0.789,1.041,4.889,1.523,0.829,0.123,0.0,1.567,1.978,1.124,2.274,0.478,0.513,0.25,1.984,3.534,2.814,1.8,0.983,3.807,1.996,2.279,2.7,2.426,1.651,1.328,2.06,0.869,0.711,3.103,3.498,0.262,3.205,0.482,0.716,0.029,1.934,1.124,0.134,0.345,0.536,0.822,3.135,5.556,2.24,0.053,0.482,4.387,2.705,0.311,0.402,0.183,0.481,0.459,4.409,3.748,0.524,1.7
Estonia,,0.92,1.139,2.321,1.323,1.166,0.997,1.145,0.594,1.096,2.309,1.169,0.788,1.036,1.711,2.667,1.279,1.567,0.0,0.041,0.848,1.042,2.129,3.409,1.603,1.842,2.974,0.4,1.425,1.826,1.484,0.782,1.48,3.858,0.392,0.106,0.35,2.8,2.571,0.961,0.381,0.961,1.872,0.487,2.9,0.948,1.478,2.762,1.731,1.501,2.087,2.107,2.856,2.585,6.785,0.94,1.23,0.566,0.968,1.279,1.113,0.949,0.98,2.349,2.209,1.609,1.258,0.944,1.54
