cid,name,type,not_null,dflt_value,pk
0,title,STRING,0,,0
1,rank,STRING,0,,0
2,date,STRING,0,,0
3,artist,STRING,0,,0
4,url,STRING,0,,0
5,region,STRING,0,,0
6,chart,STRING,0,,0
7,trend,STRING,0,,0
8,streams,STRING,0,,0
9,track_id,STRING,0,,0
10,album,STRING,0,,0
11,popularity,STRING,0,,0
12,duration_ms,STRING,0,,0
13,explicit,STRING,0,,0
14,release_date,STRING,0,,0
15,available_markets,STRING,0,,0
16,af_danceability,STRING,0,,0
17,af_energy,STRING,0,,0
18,af_key,STRING,0,,0
19,af_loudness,STRING,0,,0
20,af_mode,STRING,0,,0
21,af_speechiness,STRING,0,,0
22,af_acousticness,STRING,0,,0
23,af_instrumentalness,STRING,0,,0
24,af_liveness,STRING,0,,0
25,af_valence,STRING,0,,0
26,af_tempo,STRING,0,,0
27,af_time_signature,STRING,0,,0
